Book ID,Title,Subtitle,Author,Publisher,Book Type ID,Note,ISBN,Compiler,Last Update Date,Add Date
801,하늘에는 총총한 별들이,NULL,정대위,청맥,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
802,한국 현대사 산책 1권 - 평화시장에서 궁정동까지,NULL,강준만,인물과 사상사,14,NULL,89-88410-64-5,NULL,2010-03-14 00:00:00.000,2010-03-14 00:00:00.000
803,나를 부르는 소리,NULL,김영진,성서원,8,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
804,천국의 사람 리쿠안,NULL,랜디 알콘,규장,8,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
805,십대를 위한 5가지 사랑의 언어,NULL,게리 채프먼,생명의 말씀사,10,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
806,복음이야기 - 새가족을 위한 12가지,NULL,최홍준,두란노서원,10,NULL,NULL,NULL,2010-02-28 00:00:00.000,2010-02-28 00:00:00.000
807,제멋대로인 요즘아이 말씀으로 양육하라,NULL,리차드 휴게이트,예루살렘,10,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
808,양육리더가 꼭 알아야 할 5가지 원리,NULL,강명옥,생명의 말씀사,10,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
809,삼일교회 청년부흥보고서 R,NULL,황은우,규장,10,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
810,장승배기 언덕을 오르는 아이들,NULL,위재용,생명의 말씀사,10,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
812,노라고 말할줄 아는 자녀양육,NULL,헨리  & 존,좋은씨앗,10,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
813,내가 준비하는 미래,NULL,홍정길외,규장,10,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
814,메밀꽃 필 무렵,NULL,이효석,일신출판사,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
815,로마인 이야기 2,NULL,시오노 나나미,한길사,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
816,"죽어도 나는 양반, 너는 상놈",NULL,이규태,조선일보사,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
817,별의 노래,NULL,김수복,한림원,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
818,로마인 이야기 7,NULL,시오노 나나미,한길사,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
819,빛나는 것이 모두 금은 아니란다,NULL,송길원,살림,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
820,부드럽게 말하고 강력하게 행동하라,NULL,제임스 엠. 스트록,비즈앤북스,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
821,마음가는 대로,NULL,수산나 타마로,고려원,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
822,미안하다고 말하기가 그렇게 어려웠나요,NULL,이훈구,이야기,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
823,사랑의 간이역엔 역장이 없다,NULL,맹명관,들녘,14,NULL,NULL,NULL,2010-02-26 00:00:00.000,2010-02-26 00:00:00.000
